number,country,flag,vendor,type,level,bank
360048,CL,🇨🇱,DINERS CLUB INTERNATIONAL,CREDIT,BUSINESS,
382365,US,🇺🇸,DISCOVER,CREDIT,BUSINESS,
525617,PH,🇵🇭,MASTERCARD,CREDIT,STANDARD,SECURITY BANK CORPORATION
541993,US,🇺🇸,MASTERCARD,CREDIT,,"CITIBANK, N.A."
551746,US,🇺🇸,MASTERCARD,DEBIT,STANDARD,FISERV SOLUTIONS LLC
393543,US,🇺🇸,DISCOVER,CREDIT,BUSINESS,
389264,US,🇺🇸,DISCOVER,CREDIT,BUSINESS,
770629,CA,🇨🇦,PRIVATE LABEL,,,MBNA CANADACONSUMER FINANCE
237539,,◻️,MASTERCARD,,,
538105,CA,🇨🇦,MASTERCARD,CREDIT,,
478247,US,🇺🇸,VISA,DEBIT,CLASSIC,SO-VAL TEL FED C.U.
431406,US,🇺🇸,VISA,DEBIT,CLASSIC,MIDFIRST BANK
465149,US,🇺🇸,VISA,DEBIT,CLASSIC,GROW FINANCIAL F.C.U.
256344,,◻️,MASTERCARD,,,
647840,US,🇺🇸,DISCOVER,CREDIT,PERSONAL,DISCOVER BANK
246055,,◻️,MASTERCARD,,,
233423,,◻️,MASTERCARD,,,
662000,CO,🇨🇴,MAESTRO,DEBIT,STANDARD,
261140,,◻️,MASTERCARD,,,
315890,JP,🇯🇵,JCB,,,
363869,US,🇺🇸,DINERS CLUB INTERNATIONAL,CREDIT,,
414478,SA,🇸🇦,VISA,CREDIT,CLASSIC,SAUDI BRITISH BANK
456703,KR,🇰🇷,VISA,CREDIT,CLASSIC,FISHERIES BANKS
503560,US,🇺🇸,EBT,DEBIT,,
240814,,◻️,MASTERCARD,,,
594415,BR,🇧🇷,MAESTRO,DEBIT,STANDARD,
815304,CN,🇨🇳,CHINA UNION PAY,,,
231437,,◻️,MASTERCARD,,,
270455,,◻️,MASTERCARD,,,
394739,US,🇺🇸,DISCOVER,CREDIT,BUSINESS,
195755,AU,🇦🇺,UATP,CREDIT,UATP,AUSTRALIAN AIRLINES (OS)
710379,US,🇺🇸,PRIVATE LABEL,DEBIT,,
397358,US,🇺🇸,DISCOVER,CREDIT,BUSINESS,
227649,,◻️,MASTERCARD,,,
268723,,◻️,MASTERCARD,,,
460734,US,🇺🇸,VISA,DEBIT,BUSINESS,"BANK OF AMERICA, N.A."
